Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.95920402
Longitude: -67.86898266
Altitude: 163
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;133,8;26,6;
2020-02-29;24;302,8;25,8;
2020-03-31;9;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;3;null;null;
2022-10-31;20;230,4;26,4;
2022-11-30;16;171,4;25,8;
2022-12-31;18;454;25,8;
2023-01-31;19;174,8;25,4;
2023-02-28;22;278;25,3;
2023-03-31;28;529,8;25,3;
2023-04-30;22;159,4;25,6;
2023-05-31;14;212,6;25,4;
2023-06-30;10;47,4;23,8;
2023-07-31;1;9,6;25,5;
2023-08-31;10;43,2;27,2;
2023-09-30;9;79,6;27,8;
2023-10-31;11;77,4;28,5;
2023-11-30;12;95,2;27,6;
2023-12-31;20;271,2;26,3;
2024-01-31;24;294,8;26,5;
2024-02-29;20;327;26,3;
2024-03-31;22;214,4;26,9;
2024-04-30;14;212,8;26,7;
2024-05-31;7;47,2;24,1;
2024-06-30;5;23,2;25,9;
2024-07-31;3;31,8;23,7;
2024-08-31;2;1,4;25,8;
2024-09-30;5;68,4;27,7;
2024-10-31;1;null;null;

