Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;26,1;
2020-02-29;null;null;26;
2020-03-31;null;null;25,3;
2020-04-30;null;null;25,8;
2020-05-31;4;73,6;25;
2020-06-30;1;,4;23,8;
2020-07-31;0;0;23,1;
2020-08-31;0;0;25,5;
2020-09-30;2;10,2;28;
2020-10-31;5;68;29;
2020-11-30;13;147,6;26,7;
2020-12-31;17;130,2;26,2;
2021-01-31;14;130,8;26,7;
2021-02-28;25;375,8;24,3;
2021-03-31;9;null;25,7;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;3;null;28,6;
2021-10-31;15;131,4;27,4;
2021-11-30;19;null;25,4;
2021-12-31;27;424,4;24,4;
2022-01-31;29;164,2;24,9;
2022-02-28;21;null;25,4;
2022-03-31;15;119;25,9;
2022-04-30;7;34,4;26,4;
2022-05-31;0;0;24,4;
2022-06-30;0;0;23,5;
2022-07-31;0;0;23,4;
2022-08-31;0;0;25,7;
2022-09-30;7;39;27,3;
2022-10-31;7;2,6;28,2;
2022-11-30;18;null;25,4;
2022-12-31;null;null;24,8;
2023-01-31;null;null;25,1;
2023-02-28;null;null;26,2;
2023-03-31;null;null;25;
2023-04-30;null;null;26,2;
2023-05-31;null;null;25,5;
2023-06-30;null;null;24,5;
2023-07-31;null;null;24,4;
2023-08-31;null;null;26,3;
2023-09-30;null;null;29,1;
2023-10-31;null;null;30;
2023-11-30;null;null;29,1;
2023-12-31;null;null;27,9;
2024-01-31;null;null;25,7;
2024-02-29;null;null;25,9;
2024-03-31;11;null;27,2;
2024-04-30;18;164,2;27;
2024-05-31;0;0;26,1;
2024-06-30;0;0;23,9;
2024-07-31;0;0;23,3;
2024-08-31;0;0;25,5;
2024-09-30;null;null;28;
2024-10-31;null;null;null;

