Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;25;193;25,4;
2020-02-29;null;null;25,4;
2020-03-31;null;null;25,4;
2020-04-30;12;55;25,4;
2020-05-31;4;7,6;24,6;
2020-06-30;0;0;25,7;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;6;null;null;
2022-11-30;12;168,2;25,6;
2022-12-31;27;362;24,2;
2023-01-31;25;319;24,2;
2023-02-28;26;281;25,1;
2023-03-31;22;306,2;24,7;
2023-04-30;null;null;25,3;
2023-05-31;null;null;25,5;
2023-06-30;null;null;24,9;
2023-07-31;null;null;25,8;
2023-08-31;null;null;27,8;
2023-09-30;null;null;28,8;
2023-10-31;null;null;28,3;
2023-11-30;null;null;27,3;
2023-12-31;null;null;26,4;
2024-01-31;null;null;25,6;
2024-02-29;null;null;26;
2024-03-31;17;337,2;26,2;
2024-04-30;18;168,6;26,3;
2024-05-31;0;0;25,7;
2024-06-30;0;0;26;
2024-07-31;0;0;25,3;
2024-08-31;0;0;27,1;
2024-09-30;3;null;28,9;
2024-10-31;2;null;null;

